dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2077178782881876864,2077178782881876864,6965789,296.4221,42.4929,0.07369,3.8588,-4.516,-8038.11,346.71,76.22,0.043,0.005
2076839583548686336,2076839583548686336,6143078,297.0194,41.4015,0.02347,8.3407,-1.204,-8043.79,305.82,64.66,0.027,-0.011
2077213005182040320,2077213005182040320,7299869,296.7116,42.8642,0.06395,2.357,-0.7471,-8053.02,294.81,67.81,0.005,0.005
2076855801345072896,2076855801345072896,6222668,296.6551,41.5315,0.11275,0.6845,-4.5464,-8042.89,308.87,66.81,0.003,0.005
2077231799959508864,2077231799960705792,7215936,296.1255,42.7088,0.02204,4.834,-3.8245,-8060.46,255.94,63.09,0.102,-0.003
2107142364518546688,2107142364518546688,9005114,284.6681,45.3832,0.03662,-1.2966,-6.8326,-8043.88,299.85,119.76,0.019,-0.012
2077612883814892160,2077612883814892160,6370174,293.7426,41.7898,0.04222,0.1687,-4.3436,-8049.17,268.32,71.07,0.026,-0.027
2077884428827603456,2077884428827603456,6876575,295.5134,42.3188,0.18148,1.6758,-5.6782,-8044.61,308.45,73.08,0.109,0.007
2077417303879747712,2077417303879747712,6130409,293.9243,41.4388,0.12746,1.0637,-6.4608,-8039.93,297.23,74.98,0.07,-0.026
2077668752749671424,2077668752749671424,6609270,292.7377,42.0148,0.02092,-4.8439,-1.1805,-8032.97,324.82,86.37,0.151,-0.012
2078416283219985792,2078416283219985792,6545986,298.0232,41.9959,0.03237,4.1196,-0.4089,-8054.82,280.94,59.11,0.06,0.002
